world,node,child,value,dv_0.0,dv_0.01,dv_0.02,dv_0.03,dv_0.04,dv_0.05,dv_0.06,dv_0.07,dv_0.08,dv_0.09,dv_0.1,dv_0.11,dv_0.12,dv_0.13,dv_0.14,dv_0.15,dv_0.16,dv_0.17,dv_0.18,dv_0.19,dv_0.2,dv_0.21,dv_0.22,dv_0.23,dv_0.24,dv_0.25,dv_0.26,dv_0.27,dv_0.28,dv_0.29,dv_0.3,dv_0.31,dv_0.32,dv_0.33,dv_0.34,dv_0.35,dv_0.36,dv_0.37,dv_0.38,dv_0.39,dv_0.4,dv_0.41,dv_0.42,dv_0.43,dv_0.44,dv_0.45,dv_0.46,dv_0.47,dv_0.48,dv_0.49,dv_0.5,dv_0.51,dv_0.52,dv_0.53,dv_0.54,dv_0.55,dv_0.56,dv_0.57,dv_0.58,dv_0.59,dv_0.6,dv_0.61,dv_0.62,dv_0.63,dv_0.64,dv_0.65,dv_0.66,dv_0.67,dv_0.68,dv_0.69,dv_0.7,dv_0.71,dv_0.72,dv_0.73,dv_0.74,dv_0.75,dv_0.76,dv_0.77,dv_0.78,dv_0.79,dv_0.8,dv_0.81,dv_0.82,dv_0.83,dv_0.84,dv_0.85,dv_0.86,dv_0.87,dv_0.88,dv_0.89,dv_0.9,dv_0.91,dv_0.92,dv_0.93,dv_0.94,dv_0.95,dv_0.96,dv_0.97,dv_0.98,dv_0.99
cubicles,N7167978,N6349558,16.625,7.5,7.544,7.589,7.636,7.683,7.731,7.78,7.83,7.88,7.932,7.985,8.039,8.093,8.149,8.206,8.263,8.322,8.381,8.441,8.503,8.565,8.628,8.692,8.758,8.824,8.891,8.959,9.028,9.097,9.168,9.24,9.313,9.386,9.461,9.537,9.613,9.691,9.769,9.848,9.929,10.01,10.092,10.175,10.26,10.345,10.431,10.518,10.606,10.694,10.784,10.875,10.967,11.059,11.153,11.248,11.343,11.44,11.537,11.635,11.735,11.835,11.936,12.038,12.142,12.246,12.351,12.457,12.564,12.671,12.78,12.89,13.001,13.112,13.225,13.339,13.453,13.569,13.685,13.802,13.921,14.04,14.16,14.281,14.404,14.527,14.651,14.776,14.902,15.028,15.156,15.285,15.415,15.545,15.677,15.81,15.943,16.078,16.213,16.349,16.487
cubicles,N7167978,N4606479,19.125,3.875,3.919,3.965,4.013,4.063,4.116,4.171,4.229,4.289,4.351,4.415,4.482,4.551,4.622,4.695,4.771,4.849,4.93,5.013,5.098,5.185,5.275,5.367,5.461,5.557,5.656,5.757,5.861,5.967,6.075,6.185,6.298,6.413,6.53,6.649,6.771,6.895,7.022,7.151,7.282,7.415,7.551,7.689,7.829,7.971,8.116,8.263,8.413,8.565,8.719,8.875,9.034,9.195,9.358,9.523,9.691,9.861,10.034,10.209,10.386,10.565,10.747,10.931,11.117,11.305,11.496,11.689,11.885,12.083,12.283,12.485,12.69,12.897,13.106,13.317,13.531,13.747,13.966,14.187,14.41,14.635,14.863,15.093,15.325,15.559,15.796,16.035,16.277,16.521,16.767,17.015,17.266,17.482,17.683,17.886,18.089,18.294,18.5,18.707,18.916
garden,N7603509,N2138712,16.917,3.833,3.876,3.92,3.964,4.008,4.054,4.1,4.147,4.194,4.242,4.291,4.341,4.392,4.443,4.495,4.548,4.602,4.657,4.713,4.769,4.827,4.886,4.946,5.007,5.069,5.132,5.196,5.262,5.329,5.397,5.467,5.538,5.61,5.684,5.759,5.836,5.915,5.995,6.077,6.161,6.246,6.334,6.423,6.514,6.608,6.703,6.801,6.9,7.003,7.107,7.214,7.323,7.434,7.549,7.665,7.785,7.907,8.032,8.161,8.292,8.426,8.563,8.703,8.847,8.994,9.145,9.299,9.456,9.617,9.782,9.951,10.124,10.301,10.482,10.667,10.856,11.049,11.247,11.45,11.657,11.869,12.086,12.307,12.534,12.766,13.003,13.245,13.48,13.716,13.957,14.202,14.452,14.706,14.965,15.229,15.498,15.771,16.05,16.334,16.623
garden,N7603509,N3123108,20.083,3.25,3.274,3.299,3.324,3.349,3.375,3.401,3.427,3.454,3.482,3.51,3.538,3.568,3.598,3.629,3.66,3.693,3.726,3.76,3.796,3.832,3.87,3.909,3.95,3.991,4.035,4.079,4.126,4.174,4.224,4.276,4.33,4.386,4.444,4.505,4.568,4.633,4.701,4.772,4.845,4.922,5.001,5.084,5.17,5.259,5.352,5.449,5.55,5.654,5.762,5.875,5.992,6.113,6.24,6.37,6.506,6.647,6.793,6.945,7.102,7.264,7.433,7.608,7.788,7.976,8.169,8.37,8.577,8.791,9.013,9.242,9.479,9.723,9.976,10.237,10.506,10.784,11.07,11.366,11.67,11.984,12.308,12.642,12.985,13.339,13.688,14.048,14.417,14.797,15.188,15.589,16.002,16.425,16.861,17.308,17.767,18.238,18.722,19.193,19.634
museum,N8999294,N3583653,16.929,1.071,1.106,1.141,1.176,1.212,1.249,1.286,1.323,1.362,1.401,1.441,1.482,1.523,1.566,1.609,1.654,1.7,1.747,1.795,1.844,1.895,1.947,2.001,2.056,2.112,2.17,2.23,2.292,2.356,2.421,2.488,2.558,2.629,2.703,2.778,2.856,2.937,3.02,3.105,3.193,3.284,3.377,3.473,3.572,3.674,3.779,3.887,3.999,4.113,4.231,4.353,4.478,4.606,4.739,4.875,5.015,5.159,5.307,5.459,5.615,5.776,5.941,6.111,6.285,6.464,6.648,6.837,7.031,7.23,7.434,7.643,7.858,8.078,8.304,8.536,8.773,9.017,9.266,9.522,9.783,10.052,10.326,10.607,10.895,11.19,11.492,11.801,12.116,12.44,12.77,13.108,13.454,13.807,14.169,14.538,14.915,15.301,15.695,16.098,16.509
museum,N8999294,N3878259,17.5,2.857,2.874,2.891,2.909,2.927,2.946,2.966,2.987,3.008,3.03,3.054,3.078,3.103,3.129,3.156,3.185,3.214,3.245,3.278,3.311,3.346,3.383,3.421,3.461,3.502,3.545,3.59,3.637,3.686,3.737,3.79,3.845,3.902,3.961,4.023,4.087,4.154,4.223,4.295,4.369,4.446,4.527,4.61,4.696,4.785,4.877,4.972,5.071,5.173,5.279,5.388,5.501,5.618,5.738,5.863,5.991,6.124,6.26,6.401,6.546,6.696,6.85,7.009,7.173,7.341,7.515,7.693,7.877,8.065,8.259,8.459,8.664,8.874,9.091,9.313,9.541,9.775,10.015,10.262,10.515,10.774,11.04,11.313,11.593,11.879,12.173,12.473,12.781,13.096,13.419,13.75,14.088,14.434,14.788,15.15,15.52,15.899,16.286,16.682,17.087
museum,N8999294,N7239905,19.786,3.429,3.448,3.468,3.489,3.511,3.534,3.557,3.581,3.606,3.633,3.66,3.688,3.718,3.749,3.781,3.814,3.849,3.885,3.923,3.962,4.003,4.045,4.09,4.136,4.184,4.234,4.286,4.34,4.397,4.455,4.516,4.579,4.645,4.713,4.784,4.857,4.933,5.013,5.094,5.179,5.267,5.359,5.453,5.551,5.652,5.756,5.865,5.976,6.092,6.211,6.335,6.462,6.594,6.729,6.869,7.014,7.163,7.316,7.474,7.637,7.805,7.978,8.156,8.339,8.527,8.721,8.92,9.125,9.336,9.552,9.775,10.003,10.238,10.479,10.726,10.98,11.24,11.507,11.781,12.062,12.35,12.645,12.947,13.257,13.575,13.9,14.233,14.574,14.923,15.28,15.645,16.019,16.401,16.793,17.193,17.602,18.02,18.447,18.884,19.33
tworooms,N2169075,N2277,17.0,1.75,1.773,1.796,1.82,1.845,1.87,1.897,1.924,1.953,1.982,2.013,2.045,2.078,2.112,2.148,2.186,2.225,2.266,2.308,2.352,2.399,2.447,2.497,2.549,2.604,2.66,2.719,2.78,2.844,2.91,2.979,3.051,3.125,3.202,3.282,3.365,3.451,3.54,3.632,3.727,3.826,3.928,4.034,4.143,4.255,4.372,4.492,4.615,4.743,4.875,5.01,5.15,5.294,5.442,5.595,5.752,5.913,6.079,6.249,6.424,6.604,6.789,6.978,7.173,7.372,7.577,7.786,8.001,8.222,8.447,8.678,8.915,9.157,9.405,9.659,9.918,10.173,10.434,10.701,10.973,11.251,11.536,11.826,12.122,12.425,12.734,13.049,13.371,13.699,13.966,14.226,14.489,14.756,15.025,15.298,15.573,15.852,16.134,16.42,16.708
tworooms,N2169075,N763696,17.167,6.917,6.948,6.98,7.012,7.046,7.08,7.115,7.151,7.188,7.226,7.265,7.304,7.345,7.387,7.429,7.473,7.518,7.564,7.611,7.659,7.708,7.758,7.81,7.863,7.917,7.973,8.029,8.087,8.147,8.208,8.27,8.334,8.399,8.465,8.533,8.603,8.674,8.746,8.821,8.897,8.974,9.053,9.134,9.216,9.301,9.387,9.474,9.564,9.655,9.749,9.844,9.941,10.04,10.14,10.243,10.348,10.455,10.564,10.675,10.788,10.903,11.02,11.139,11.261,11.384,11.51,11.639,11.769,11.902,12.037,12.174,12.314,12.456,12.601,12.748,12.897,13.049,13.203,13.36,13.52,13.682,13.847,14.014,14.184,14.347,14.508,14.67,14.835,15.002,15.171,15.341,15.514,15.689,15.867,16.046,16.227,16.411,16.597,16.784,16.974
tworooms,N2169075,N5159403,18.5,1.917,1.941,1.966,1.992,2.018,2.046,2.074,2.103,2.134,2.165,2.198,2.232,2.267,2.303,2.342,2.381,2.423,2.466,2.51,2.557,2.605,2.656,2.708,2.763,2.82,2.879,2.94,3.004,3.071,3.139,3.211,3.285,3.362,3.442,3.525,3.61,3.699,3.791,3.886,3.984,4.086,4.191,4.3,4.412,4.528,4.647,4.77,4.897,5.028,5.163,5.302,5.445,5.593,5.744,5.9,6.06,6.225,6.395,6.569,6.747,6.931,7.119,7.312,7.51,7.714,7.922,8.136,8.354,8.579,8.808,9.043,9.284,9.53,9.782,10.04,10.303,10.573,10.843,11.113,11.389,11.671,11.959,12.254,12.554,12.861,13.173,13.492,13.818,14.15,14.489,14.834,15.186,15.545,15.91,16.283,16.662,17.049,17.442,17.843,18.183
