world,node,child,value,dv_0.0,dv_0.01,dv_0.02,dv_0.03,dv_0.04,dv_0.05,dv_0.06,dv_0.07,dv_0.08,dv_0.09,dv_0.1,dv_0.11,dv_0.12,dv_0.13,dv_0.14,dv_0.15,dv_0.16,dv_0.17,dv_0.18,dv_0.19,dv_0.2,dv_0.21,dv_0.22,dv_0.23,dv_0.24,dv_0.25,dv_0.26,dv_0.27,dv_0.28,dv_0.29,dv_0.3,dv_0.31,dv_0.32,dv_0.33,dv_0.34,dv_0.35,dv_0.36,dv_0.37,dv_0.38,dv_0.39,dv_0.4,dv_0.41,dv_0.42,dv_0.43,dv_0.44,dv_0.45,dv_0.46,dv_0.47,dv_0.48,dv_0.49,dv_0.5,dv_0.51,dv_0.52,dv_0.53,dv_0.54,dv_0.55,dv_0.56,dv_0.57,dv_0.58,dv_0.59,dv_0.6,dv_0.61,dv_0.62,dv_0.63,dv_0.64,dv_0.65,dv_0.66,dv_0.67,dv_0.68,dv_0.69,dv_0.7,dv_0.71,dv_0.72,dv_0.73,dv_0.74,dv_0.75,dv_0.76,dv_0.77,dv_0.78,dv_0.79,dv_0.8,dv_0.81,dv_0.82,dv_0.83,dv_0.84,dv_0.85,dv_0.86,dv_0.87,dv_0.88,dv_0.89,dv_0.9,dv_0.91,dv_0.92,dv_0.93,dv_0.94,dv_0.95,dv_0.96,dv_0.97,dv_0.98,dv_0.99
museum,N1035050,N9449477,17.8,4.4,4.418,4.437,4.457,4.477,4.498,4.52,4.543,4.567,4.592,4.618,4.645,4.673,4.702,4.733,4.766,4.799,4.835,4.871,4.91,4.95,4.992,5.036,5.082,5.13,5.18,5.232,5.287,5.344,5.403,5.465,5.529,5.596,5.66,5.725,5.793,5.862,5.934,6.007,6.083,6.162,6.243,6.326,6.412,6.5,6.591,6.685,6.781,6.88,6.982,7.088,7.196,7.307,7.421,7.538,7.659,7.783,7.91,8.041,8.176,8.314,8.456,8.601,8.751,8.904,9.062,9.223,9.389,9.559,9.733,9.912,10.096,10.283,10.476,10.673,10.876,11.083,11.295,11.513,11.735,11.964,12.197,12.436,12.681,12.931,13.187,13.449,13.717,13.992,14.272,14.559,14.852,15.152,15.459,15.772,16.092,16.419,16.753,17.095,17.444
museum,N1035050,N9773808,18.333,1.267,1.324,1.382,1.441,1.5,1.56,1.62,1.682,1.743,1.806,1.87,1.934,1.999,2.065,2.132,2.201,2.27,2.34,2.412,2.485,2.559,2.634,2.711,2.789,2.869,2.95,3.032,3.117,3.203,3.291,3.38,3.472,3.565,3.661,3.758,3.858,3.959,4.063,4.17,4.278,4.389,4.502,4.618,4.737,4.858,4.982,5.109,5.239,5.371,5.507,5.646,5.788,5.933,6.081,6.233,6.389,6.547,6.71,6.876,7.046,7.22,7.398,7.579,7.765,7.955,8.15,8.348,8.551,8.759,8.971,9.188,9.41,9.636,9.867,10.104,10.346,10.592,10.845,11.102,11.365,11.634,11.908,12.188,12.474,12.766,13.064,13.369,13.679,13.996,14.319,14.649,14.986,15.329,15.68,16.037,16.401,16.773,17.152,17.538,17.932
garden,N7850553,N6320060,18.0,2.3,2.351,2.403,2.456,2.51,2.565,2.62,2.676,2.733,2.791,2.85,2.909,2.97,3.031,3.094,3.158,3.222,3.288,3.355,3.423,3.492,3.563,3.635,3.708,3.782,3.858,3.935,4.014,4.095,4.176,4.26,4.345,4.432,4.521,4.611,4.704,4.798,4.894,4.993,5.093,5.196,5.301,5.408,5.517,5.629,5.744,5.861,5.981,6.103,6.228,6.356,6.487,6.621,6.758,6.899,7.042,7.189,7.339,7.493,7.65,7.811,7.976,8.144,8.317,8.493,8.674,8.858,9.047,9.241,9.439,9.642,9.849,10.061,10.278,10.5,10.727,10.959,11.197,11.44,11.689,11.943,12.203,12.469,12.741,13.019,13.303,13.594,13.876,14.159,14.448,14.742,15.042,15.347,15.658,15.975,16.297,16.626,16.96,17.301,17.647
garden,N7850553,N4613075,18.4,3.9,3.929,3.959,3.989,4.019,4.05,4.081,4.113,4.145,4.178,4.211,4.245,4.28,4.316,4.352,4.389,4.427,4.466,4.506,4.547,4.589,4.633,4.677,4.723,4.77,4.818,4.868,4.92,4.972,5.027,5.083,5.141,5.201,5.263,5.327,5.392,5.46,5.531,5.603,5.678,5.755,5.835,5.917,6.002,6.09,6.181,6.275,6.372,6.472,6.575,6.681,6.791,6.905,7.022,7.143,7.268,7.396,7.529,7.666,7.807,7.953,8.103,8.257,8.417,8.581,8.75,8.924,9.104,9.288,9.478,9.674,9.875,10.083,10.296,10.515,10.74,10.972,11.21,11.455,11.706,11.965,12.23,12.503,12.782,13.07,13.346,13.63,13.921,14.218,14.524,14.836,15.156,15.484,15.819,16.163,16.515,16.875,17.243,17.62,18.005
tworooms,N2277,N6388298,18.3,3.9,3.916,3.936,3.958,3.983,4.011,4.041,4.075,4.112,4.151,4.193,4.238,4.286,4.337,4.39,4.447,4.506,4.568,4.633,4.701,4.772,4.846,4.922,5.001,5.084,5.169,5.257,5.347,5.441,5.538,5.637,5.739,5.844,5.952,6.063,6.177,6.293,6.413,6.535,6.66,6.788,6.919,7.053,7.189,7.328,7.471,7.616,7.764,7.915,8.068,8.225,8.384,8.547,8.712,8.88,9.051,9.224,9.401,9.581,9.763,9.948,10.136,10.327,10.521,10.717,10.917,11.119,11.324,11.532,11.743,11.957,12.174,12.393,12.615,12.841,13.069,13.3,13.533,13.77,14.01,14.252,14.497,14.745,14.996,15.25,15.507,15.766,16.029,16.294,16.471,16.635,16.799,16.964,17.129,17.295,17.461,17.628,17.795,17.963,18.131
tworooms,N2277,N5127596,18.5,9.5,9.543,9.588,9.633,9.68,9.727,9.775,9.824,9.874,9.925,9.977,10.03,10.084,10.138,10.194,10.251,10.308,10.367,10.426,10.487,10.548,10.61,10.673,10.738,10.803,10.869,10.936,11.004,11.072,11.142,11.213,11.285,11.357,11.431,11.505,11.581,11.657,11.734,11.813,11.892,11.972,12.053,12.135,12.218,12.302,12.387,12.473,12.559,12.647,12.735,12.825,12.915,13.007,13.099,13.193,13.287,13.382,13.478,13.575,13.673,13.772,13.872,13.973,14.074,14.177,14.281,14.385,14.491,14.597,14.705,14.813,14.922,15.032,15.144,15.256,15.369,15.483,15.598,15.713,15.83,15.948,16.067,16.186,16.307,16.428,16.551,16.674,16.798,16.924,17.05,17.177,17.305,17.434,17.564,17.695,17.827,17.96,18.093,18.228,18.363
tworooms,N2277,N7291500,19.9,2.7,2.732,2.768,2.806,2.847,2.891,2.937,2.987,3.04,3.095,3.153,3.214,3.278,3.345,3.414,3.487,3.562,3.64,3.721,3.805,3.892,3.982,4.074,4.169,4.268,4.369,4.473,4.579,4.689,4.802,4.917,5.035,5.156,5.28,5.407,5.537,5.669,5.805,5.943,6.084,6.228,6.375,6.525,6.677,6.832,6.991,7.152,7.316,7.483,7.652,7.825,8.0,8.179,8.36,8.544,8.731,8.92,9.113,9.309,9.507,9.708,9.912,10.119,10.329,10.541,10.757,10.975,11.196,11.42,11.647,11.877,12.11,12.345,12.583,12.825,13.069,13.316,13.565,13.818,14.074,14.332,14.593,14.857,15.124,15.394,15.667,15.942,16.221,16.502,16.786,17.073,17.363,17.656,17.951,18.249,18.551,18.855,19.162,19.452,19.676
ikea,N1448237,N4631048,18.357,1.643,1.667,1.692,1.719,1.747,1.776,1.807,1.839,1.873,1.909,1.946,1.985,2.027,2.07,2.115,2.162,2.211,2.263,2.317,2.374,2.433,2.494,2.558,2.625,2.694,2.767,2.842,2.92,3.002,3.086,3.174,3.264,3.359,3.456,3.557,3.662,3.77,3.882,3.998,4.117,4.241,4.368,4.499,4.635,4.775,4.919,5.067,5.22,5.377,5.539,5.705,5.876,6.052,6.233,6.419,6.609,6.805,7.006,7.212,7.423,7.639,7.861,8.089,8.322,8.56,8.805,9.055,9.311,9.573,9.84,10.114,10.364,10.619,10.879,11.145,11.416,11.693,11.976,12.264,12.559,12.859,13.165,13.43,13.679,13.931,14.185,14.443,14.703,14.966,15.232,15.502,15.774,16.049,16.327,16.608,16.892,17.179,17.469,17.762,18.058
ikea,N1448237,N2396034,18.786,5.929,5.957,5.986,6.016,6.046,6.078,6.11,6.143,6.178,6.213,6.25,6.288,6.327,6.367,6.409,6.452,6.496,6.542,6.589,6.638,6.689,6.741,6.794,6.85,6.907,6.967,7.028,7.091,7.155,7.222,7.291,7.363,7.436,7.511,7.589,7.669,7.752,7.836,7.924,8.013,8.106,8.201,8.298,8.398,8.501,8.607,8.715,8.827,8.941,9.058,9.179,9.302,9.428,9.558,9.691,9.827,9.966,10.109,10.255,10.404,10.557,10.714,10.874,11.037,11.205,11.376,11.551,11.729,11.912,12.098,12.289,12.483,12.681,12.884,13.091,13.301,13.516,13.736,13.959,14.171,14.365,14.561,14.76,14.961,15.165,15.372,15.581,15.792,16.007,16.224,16.443,16.665,16.89,17.118,17.348,17.581,17.816,18.054,18.295,18.539
ikea,N1448237,N234416,19.786,1.786,1.811,1.838,1.866,1.896,1.927,1.959,1.994,2.029,2.067,2.106,2.147,2.191,2.236,2.283,2.333,2.385,2.439,2.495,2.554,2.615,2.679,2.746,2.816,2.888,2.963,3.041,3.122,3.207,3.294,3.385,3.479,3.576,3.677,3.782,3.89,4.001,4.117,4.236,4.359,4.486,4.617,4.753,4.892,5.036,5.184,5.336,5.493,5.654,5.82,5.991,6.166,6.347,6.532,6.722,6.917,7.117,7.323,7.533,7.749,7.971,8.198,8.43,8.668,8.912,9.161,9.417,9.678,9.945,10.218,10.497,10.783,11.056,11.321,11.591,11.867,12.149,12.436,12.729,13.028,13.333,13.644,13.961,14.284,14.613,14.949,15.291,15.639,15.994,16.356,16.712,17.005,17.301,17.601,17.903,18.209,18.518,18.83,19.145,19.464
lab,N9935630,N9994475,18.444,2.556,2.592,2.63,2.667,2.706,2.744,2.783,2.823,2.863,2.904,2.945,2.987,3.029,3.072,3.116,3.161,3.206,3.252,3.299,3.347,3.395,3.445,3.496,3.547,3.6,3.654,3.71,3.766,3.824,3.883,3.944,4.006,4.07,4.135,4.202,4.271,4.342,4.415,4.49,4.567,4.646,4.728,4.812,4.898,4.988,5.079,5.174,5.272,5.372,5.476,5.583,5.694,5.808,5.925,6.047,6.172,6.301,6.435,6.573,6.715,6.862,7.013,7.17,7.332,7.498,7.671,7.849,8.032,8.222,8.417,8.619,8.827,9.042,9.264,9.493,9.729,9.973,10.224,10.484,10.751,11.026,11.311,11.604,11.906,12.217,12.538,12.868,13.209,13.559,13.92,14.293,14.676,15.07,15.476,15.894,16.324,16.73,17.142,17.565,17.999
lab,N9935630,N7839123,19.778,2.778,2.794,2.81,2.826,2.843,2.86,2.878,2.896,2.915,2.935,2.955,2.976,2.997,3.019,3.042,3.066,3.09,3.116,3.142,3.17,3.198,3.228,3.259,3.29,3.324,3.358,3.394,3.432,3.471,3.512,3.554,3.598,3.645,3.693,3.743,3.795,3.85,3.907,3.966,4.028,4.092,4.16,4.23,4.304,4.38,4.46,4.543,4.63,4.72,4.815,4.913,5.016,5.123,5.234,5.35,5.471,5.597,5.729,5.866,6.008,6.156,6.311,6.471,6.638,6.812,6.993,7.181,7.376,7.579,7.79,8.009,8.237,8.473,8.719,8.974,9.238,9.513,9.798,10.093,10.399,10.716,11.045,11.386,11.739,12.105,12.484,12.876,13.282,13.702,14.136,14.586,15.051,15.532,16.029,16.54,17.037,17.55,18.081,18.628,19.194
ikea,N100354,N4486578,18.5,3.875,3.927,3.982,4.039,4.099,4.161,4.225,4.291,4.36,4.431,4.505,4.581,4.659,4.74,4.823,4.908,4.996,5.086,5.178,5.273,5.37,5.469,5.571,5.675,5.782,5.891,6.002,6.115,6.231,6.349,6.47,6.593,6.718,6.846,6.976,7.108,7.243,7.38,7.519,7.661,7.805,7.951,8.1,8.251,8.405,8.561,8.719,8.879,9.042,9.207,9.375,9.545,9.717,9.892,10.069,10.248,10.43,10.614,10.8,10.989,11.18,11.373,11.569,11.767,11.968,12.171,12.376,12.583,12.793,13.005,13.22,13.437,13.656,13.878,14.102,14.328,14.488,14.649,14.811,14.973,15.135,15.298,15.462,15.626,15.79,15.956,16.121,16.288,16.455,16.622,16.79,16.959,17.128,17.297,17.467,17.638,17.809,17.981,18.154,18.327
ikea,N100354,N1400368,19.5,4.125,4.18,4.237,4.297,4.36,4.424,4.492,4.561,4.633,4.708,4.785,4.864,4.946,5.031,5.118,5.207,5.299,5.393,5.489,5.588,5.69,5.794,5.9,6.009,6.121,6.234,6.351,6.469,6.59,6.714,6.84,6.968,7.099,7.233,7.369,7.507,7.648,7.791,7.936,8.084,8.235,8.388,8.543,8.701,8.862,9.024,9.19,9.357,9.527,9.7,9.875,10.052,10.232,10.415,10.6,10.787,10.977,11.169,11.363,11.56,11.76,11.962,12.166,12.373,12.583,12.794,13.009,13.225,13.444,13.666,13.89,14.116,14.345,14.577,14.811,15.047,15.286,15.455,15.624,15.794,15.965,16.136,16.308,16.481,16.654,16.827,17.001,17.176,17.351,17.527,17.704,17.881,18.058,18.237,18.415,18.595,18.775,18.955,19.136,19.318
cubicles,N8892822,N9981263,18.5,3.25,3.304,3.36,3.42,3.482,3.546,3.614,3.684,3.756,3.832,3.91,3.991,4.074,4.161,4.25,4.341,4.436,4.533,4.632,4.735,4.84,4.948,5.058,5.172,5.288,5.406,5.528,5.652,5.778,5.908,6.04,6.175,6.312,6.453,6.596,6.741,6.89,7.041,7.194,7.351,7.51,7.672,7.836,8.004,8.174,8.346,8.522,8.7,8.88,9.064,9.25,9.439,9.63,9.825,10.022,10.214,10.373,10.533,10.694,10.857,11.02,11.185,11.35,11.517,11.685,11.854,12.025,12.196,12.369,12.543,12.717,12.894,13.071,13.249,13.429,13.609,13.791,13.974,14.158,14.344,14.53,14.718,14.906,15.096,15.287,15.479,15.673,15.867,16.063,16.26,16.458,16.657,16.857,17.058,17.261,17.464,17.669,17.875,18.082,18.291
cubicles,N8892822,N2137138,19.0,7.5,7.548,7.598,7.649,7.701,7.754,7.809,7.866,7.923,7.982,8.043,8.104,8.167,8.232,8.297,8.364,8.433,8.503,8.574,8.646,8.72,8.795,8.872,8.95,9.029,9.109,9.191,9.275,9.359,9.445,9.533,9.621,9.711,9.803,9.895,9.989,10.085,10.182,10.28,10.379,10.48,10.582,10.686,10.791,10.897,11.004,11.113,11.224,11.335,11.448,11.562,11.678,11.795,11.914,12.033,12.154,12.277,12.401,12.526,12.652,12.78,12.909,13.04,13.172,13.305,13.439,13.575,13.713,13.851,13.991,14.133,14.275,14.419,14.565,14.711,14.859,15.009,15.16,15.312,15.465,15.62,15.776,15.934,16.093,16.253,16.414,16.577,16.742,16.907,17.074,17.242,17.412,17.583,17.756,17.929,18.104,18.281,18.459,18.638,18.818
cubicles,N8892822,N5568770,22.5,4.25,4.314,4.381,4.451,4.525,4.601,4.681,4.763,4.849,4.938,5.03,5.125,5.223,5.324,5.429,5.536,5.647,5.76,5.877,5.997,6.12,6.246,6.375,6.507,6.643,6.781,6.923,7.067,7.215,7.366,7.52,7.677,7.837,8.0,8.167,8.336,8.509,8.684,8.863,9.045,9.23,9.418,9.609,9.803,10.001,10.201,10.405,10.611,10.821,11.034,11.25,11.469,11.691,11.916,12.145,12.376,12.611,12.848,13.089,13.333,13.58,13.777,13.975,14.174,14.375,14.577,14.78,14.985,15.191,15.399,15.607,15.818,16.029,16.242,16.456,16.672,16.889,17.107,17.327,17.548,17.77,17.994,18.219,18.445,18.673,18.902,19.132,19.364,19.597,19.832,20.068,20.305,20.543,20.783,21.024,21.267,21.511,21.756,22.003,22.251
roomG,N1443972,N2654501,18.727,5.455,5.473,5.495,5.52,5.548,5.579,5.613,5.65,5.69,5.733,5.779,5.828,5.88,5.936,5.994,6.055,6.12,6.187,6.257,6.331,6.407,6.487,6.569,6.655,6.744,6.835,6.93,7.028,7.128,7.232,7.339,7.449,7.562,7.678,7.797,7.919,8.044,8.172,8.303,8.437,8.575,8.715,8.858,9.004,9.154,9.306,9.462,9.62,9.782,9.946,10.114,10.284,10.458,10.635,10.814,10.997,11.183,11.372,11.564,11.758,11.956,12.157,12.361,12.568,12.778,12.992,13.208,13.427,13.649,13.874,14.103,14.334,14.516,14.66,14.804,14.949,15.094,15.24,15.386,15.533,15.68,15.828,15.976,16.125,16.274,16.423,16.574,16.724,16.875,17.027,17.179,17.332,17.485,17.638,17.792,17.947,18.102,18.258,18.414,18.57
roomG,N1443972,N7117627,20.545,9.727,9.751,9.777,9.806,9.836,9.869,9.904,9.942,9.981,10.023,10.067,10.114,10.162,10.213,10.266,10.322,10.379,10.439,10.502,10.566,10.633,10.702,10.773,10.846,10.922,11.0,11.08,11.163,11.247,11.334,11.424,11.515,11.609,11.705,11.803,11.904,12.006,12.111,12.219,12.328,12.44,12.554,12.67,12.789,12.91,13.033,13.158,13.286,13.415,13.547,13.682,13.818,13.957,14.098,14.242,14.387,14.535,14.685,14.838,14.992,15.149,15.308,15.47,15.633,15.799,15.967,16.138,16.31,16.485,16.662,16.785,16.903,17.022,17.141,17.26,17.381,17.501,17.623,17.744,17.866,17.989,18.112,18.236,18.36,18.485,18.61,18.735,18.861,18.988,19.115,19.243,19.371,19.499,19.628,19.758,19.888,20.018,20.149,20.281,20.413
roomG,N1443972,N8317607,21.091,1.182,1.252,1.325,1.401,1.479,1.56,1.643,1.729,1.818,1.909,2.003,2.099,2.198,2.3,2.404,2.511,2.62,2.732,2.847,2.964,3.084,3.206,3.331,3.459,3.589,3.722,3.857,3.995,4.136,4.279,4.425,4.573,4.724,4.878,5.034,5.192,5.354,5.518,5.684,5.854,6.025,6.2,6.377,6.556,6.739,6.923,7.111,7.301,7.493,7.689,7.886,8.087,8.29,8.495,8.704,8.914,9.128,9.344,9.562,9.783,10.007,10.234,10.463,10.694,10.928,11.165,11.405,11.647,11.891,12.138,12.388,12.641,12.896,13.153,13.413,13.676,13.942,14.21,14.48,14.753,15.029,15.307,15.588,15.872,16.158,16.447,16.738,17.032,17.329,17.628,17.93,18.234,18.541,18.851,19.163,19.478,19.795,20.115,20.438,20.763
library,N5610265,N7608419,19.0,8.75,8.852,8.955,9.057,9.16,9.262,9.365,9.467,9.57,9.672,9.775,9.877,9.98,10.082,10.185,10.287,10.39,10.492,10.595,10.697,10.8,10.902,11.005,11.107,11.21,11.312,11.415,11.518,11.62,11.723,11.825,11.928,12.03,12.133,12.235,12.338,12.44,12.543,12.645,12.748,12.85,12.953,13.055,13.157,13.26,13.363,13.465,13.567,13.67,13.773,13.875,13.977,14.08,14.183,14.285,14.387,14.49,14.592,14.695,14.797,14.9,15.002,15.105,15.207,15.31,15.413,15.515,15.617,15.72,15.822,15.925,16.027,16.13,16.233,16.335,16.438,16.54,16.642,16.745,16.848,16.95,17.053,17.155,17.258,17.36,17.462,17.565,17.668,17.77,17.873,17.975,18.078,18.18,18.282,18.385,18.487,18.59,18.692,18.795,18.898
library,N5610265,N1352798,20.0,9.25,9.357,9.465,9.572,9.68,9.787,9.895,10.002,10.11,10.217,10.325,10.433,10.54,10.648,10.755,10.863,10.97,11.078,11.185,11.293,11.4,11.508,11.615,11.723,11.83,11.938,12.045,12.152,12.26,12.367,12.475,12.582,12.69,12.797,12.905,13.012,13.12,13.227,13.335,13.442,13.55,13.657,13.765,13.872,13.98,14.088,14.195,14.302,14.41,14.518,14.625,14.732,14.84,14.948,15.055,15.163,15.27,15.377,15.485,15.592,15.7,15.808,15.915,16.023,16.13,16.238,16.345,16.453,16.56,16.668,16.775,16.883,16.99,17.098,17.205,17.312,17.42,17.527,17.635,17.742,17.85,17.958,18.065,18.172,18.28,18.387,18.495,18.602,18.71,18.818,18.925,19.032,19.14,19.248,19.355,19.462,19.57,19.678,19.785,19.892
library,N9747004,N8680754,19.0,7.75,7.862,7.975,8.088,8.2,8.312,8.425,8.537,8.65,8.762,8.875,8.988,9.1,9.213,9.325,9.438,9.55,9.662,9.775,9.887,10.0,10.113,10.225,10.338,10.45,10.562,10.675,10.787,10.9,11.012,11.125,11.238,11.35,11.463,11.575,11.688,11.8,11.912,12.025,12.137,12.25,12.363,12.475,12.588,12.7,12.812,12.925,13.037,13.15,13.262,13.375,13.488,13.6,13.713,13.825,13.938,14.05,14.162,14.275,14.387,14.5,14.613,14.725,14.838,14.95,15.062,15.175,15.288,15.4,15.512,15.625,15.738,15.85,15.963,16.075,16.188,16.3,16.413,16.525,16.638,16.75,16.863,16.975,17.087,17.2,17.312,17.425,17.538,17.65,17.762,17.875,17.988,18.1,18.212,18.325,18.438,18.55,18.663,18.775,18.887
library,N9747004,N1647237,24.0,10.25,10.387,10.525,10.662,10.8,10.938,11.075,11.213,11.35,11.488,11.625,11.762,11.9,12.037,12.175,12.312,12.45,12.588,12.725,12.863,13.0,13.137,13.275,13.412,13.55,13.688,13.825,13.963,14.1,14.238,14.375,14.512,14.65,14.788,14.925,15.062,15.2,15.338,15.475,15.613,15.75,15.887,16.025,16.163,16.3,16.438,16.575,16.712,16.85,16.988,17.125,17.262,17.4,17.538,17.675,17.812,17.95,18.087,18.225,18.362,18.5,18.637,18.775,18.913,19.05,19.188,19.325,19.462,19.6,19.737,19.875,20.012,20.15,20.288,20.425,20.562,20.7,20.837,20.975,21.113,21.25,21.388,21.525,21.663,21.8,21.938,22.075,22.212,22.35,22.488,22.625,22.763,22.9,23.038,23.175,23.312,23.45,23.587,23.725,23.863
ikea,N4486578,N2531862,19.5,15.833,15.87,15.907,15.943,15.98,16.017,16.053,16.09,16.127,16.163,16.2,16.237,16.273,16.31,16.347,16.383,16.42,16.457,16.493,16.53,16.567,16.603,16.64,16.677,16.713,16.75,16.787,16.823,16.86,16.897,16.933,16.97,17.007,17.043,17.08,17.117,17.153,17.19,17.227,17.263,17.3,17.337,17.373,17.41,17.447,17.483,17.52,17.557,17.593,17.63,17.667,17.703,17.74,17.777,17.813,17.85,17.887,17.923,17.96,17.997,18.033,18.07,18.107,18.143,18.18,18.217,18.253,18.29,18.327,18.363,18.4,18.437,18.473,18.51,18.547,18.583,18.62,18.657,18.693,18.73,18.767,18.803,18.84,18.877,18.913,18.95,18.987,19.023,19.06,19.097,19.133,19.17,19.207,19.243,19.28,19.317,19.353,19.39,19.427,19.463
ikea,N4486578,N132046,22.5,6.833,6.99,7.147,7.303,7.46,7.617,7.773,7.93,8.087,8.243,8.4,8.557,8.713,8.87,9.027,9.183,9.34,9.497,9.653,9.81,9.967,10.123,10.28,10.437,10.593,10.75,10.907,11.063,11.22,11.377,11.533,11.69,11.847,12.003,12.16,12.317,12.473,12.63,12.787,12.943,13.1,13.257,13.413,13.57,13.727,13.883,14.04,14.197,14.353,14.51,14.667,14.823,14.98,15.137,15.293,15.45,15.607,15.763,15.92,16.077,16.233,16.39,16.547,16.703,16.86,17.017,17.173,17.33,17.487,17.643,17.8,17.957,18.113,18.27,18.427,18.583,18.74,18.897,19.053,19.21,19.367,19.523,19.68,19.837,19.993,20.15,20.307,20.463,20.62,20.777,20.933,21.09,21.247,21.403,21.56,21.717,21.873,22.03,22.187,22.343
ikea,N4631048,N9016413,19.5,6.25,6.266,6.286,6.308,6.332,6.36,6.39,6.423,6.459,6.498,6.539,6.583,6.63,6.68,6.733,6.788,6.846,6.907,6.971,7.037,7.107,7.179,7.254,7.331,7.412,7.495,7.581,7.67,7.761,7.855,7.952,8.052,8.155,8.261,8.369,8.48,8.594,8.71,8.83,8.952,9.077,9.204,9.335,9.468,9.604,9.743,9.885,10.029,10.176,10.326,10.479,10.635,10.793,10.954,11.118,11.285,11.454,11.627,11.802,11.979,12.16,12.343,12.53,12.719,12.91,13.105,13.302,13.502,13.705,13.911,14.119,14.33,14.544,14.761,14.981,15.203,15.428,15.656,15.887,16.12,16.357,16.596,16.771,16.918,17.066,17.215,17.364,17.514,17.664,17.814,17.965,18.116,18.268,18.421,18.573,18.727,18.88,19.035,19.189,19.344
ikea,N4631048,N6560058,22.167,8.917,8.958,9.002,9.047,9.095,9.144,9.195,9.247,9.302,9.358,9.417,9.477,9.539,9.602,9.668,9.735,9.805,9.876,9.949,10.023,10.1,10.178,10.259,10.341,10.425,10.51,10.598,10.687,10.779,10.872,10.967,11.063,11.162,11.262,11.365,11.469,11.575,11.682,11.792,11.903,12.017,12.132,12.249,12.367,12.488,12.61,12.735,12.861,12.989,13.118,13.25,13.383,13.519,13.656,13.795,13.935,14.078,14.222,14.369,14.517,14.667,14.818,14.972,15.127,15.285,15.444,15.605,15.767,15.932,16.098,16.267,16.437,16.609,16.782,16.958,17.135,17.315,17.496,17.679,17.863,18.05,18.238,18.429,18.621,18.815,19.01,19.208,19.407,19.609,19.812,20.017,20.223,20.432,20.642,20.855,21.069,21.285,21.502,21.722,21.943
ikea,N4631048,N5861572,23.167,2.75,2.816,2.886,2.958,3.032,3.11,3.19,3.273,3.359,3.448,3.539,3.633,3.73,3.83,3.933,4.038,4.146,4.257,4.371,4.487,4.607,4.729,4.854,4.981,5.112,5.245,5.381,5.52,5.661,5.805,5.953,6.102,6.255,6.411,6.569,6.73,6.894,7.06,7.23,7.402,7.577,7.754,7.935,8.118,8.304,8.493,8.685,8.879,9.076,9.276,9.479,9.685,9.893,10.104,10.318,10.535,10.754,10.977,11.202,11.429,11.66,11.893,12.13,12.369,12.61,12.855,13.102,13.352,13.605,13.861,14.119,14.38,14.644,14.911,15.181,15.453,15.728,16.006,16.287,16.57,16.857,17.146,17.438,17.732,18.03,18.33,18.633,18.939,19.247,19.558,19.873,20.189,20.509,20.832,21.157,21.485,21.816,22.149,22.486,22.825
roomG,N1625775,N2316202,19.8,15.2,15.246,15.292,15.338,15.384,15.43,15.476,15.522,15.568,15.614,15.66,15.706,15.752,15.798,15.844,15.89,15.936,15.982,16.028,16.074,16.12,16.166,16.212,16.258,16.304,16.35,16.396,16.442,16.488,16.534,16.58,16.626,16.672,16.718,16.764,16.81,16.856,16.902,16.948,16.994,17.04,17.086,17.132,17.178,17.224,17.27,17.316,17.362,17.408,17.454,17.5,17.546,17.592,17.638,17.684,17.73,17.776,17.822,17.868,17.914,17.96,18.006,18.052,18.098,18.144,18.19,18.236,18.282,18.328,18.374,18.42,18.466,18.512,18.558,18.604,18.65,18.696,18.742,18.788,18.834,18.88,18.926,18.972,19.018,19.064,19.11,19.156,19.202,19.248,19.294,19.34,19.386,19.432,19.478,19.524,19.57,19.616,19.662,19.708,19.754
roomG,N1625775,N9172148,21.8,3.4,3.584,3.768,3.952,4.136,4.32,4.504,4.688,4.872,5.056,5.24,5.424,5.608,5.792,5.976,6.16,6.344,6.528,6.712,6.896,7.08,7.264,7.448,7.632,7.816,8.0,8.184,8.368,8.552,8.736,8.92,9.104,9.288,9.472,9.656,9.84,10.024,10.208,10.392,10.576,10.76,10.944,11.128,11.312,11.496,11.68,11.864,12.048,12.232,12.416,12.6,12.784,12.968,13.152,13.336,13.52,13.704,13.888,14.072,14.256,14.44,14.624,14.808,14.992,15.176,15.36,15.544,15.728,15.912,16.096,16.28,16.464,16.648,16.832,17.016,17.2,17.384,17.568,17.752,17.936,18.12,18.304,18.488,18.672,18.856,19.04,19.224,19.408,19.592,19.776,19.96,20.144,20.328,20.512,20.696,20.88,21.064,21.248,21.432,21.616
