world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
courtyard2	(0,0)	N758342	NA	p(0,0);	0	0	0	0	FALSE	6.8	0	10	
courtyard2	(3,0)	N4367340	N758342	p(0,0);p(1,0);p(2,0);p(3,0);	1	4	3	3	FALSE	6.8	10	6	1,2,3,4
courtyard2	(0,4)	N91614	N758342	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	1	5	4	4	FALSE	8.2	15	5	1,2,3,4,5
courtyard2	(3,2)	N6849877	N4367340	p(3,0);p(3,1);p(3,2);	2	2	2	5	FALSE	7.6666665	2	4	1,1
courtyard2	(0,4)	N2494028	N4367340	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	2	4	7	10	FALSE	14	12	2	1,2,4,5
courtyard2	(3,4)	N5435057	N91614	p(0,4);p(1,4);p(2,4);p(3,4);	2	3	3	7	FALSE	9.4	6	2	3,2,1
courtyard2	(3,4)	N324257	N6849877	p(3,2);p(3,3);p(3,4);	3	4	2	7	TRUE	8.5	6	0	2,1,1,2
courtyard2	(3,2)	N535656	N2494028	p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	3	2	5	15	TRUE	16	2	0	1,1
courtyard2	(3,2)	N8496604	N5435057	p(3,4);p(3,3);p(3,2);	3	2	2	9	TRUE	10	2	0	1,1
