world	nodeLocation	NID	PARENTID	pathFromParent	depth	N	S	stepsFromRoot	isLeaf	nodeValue	nodeEP	blackremains	cellDistances
roomG2	(0,0)	N903598	NA	p(0,0);	0	0	0	0	FALSE	10.962962	0	27	
roomG2	(3,0)	N9627572	N903598	p(0,0);p(1,0);p(2,0);p(3,0);	1	5	3	3	FALSE	10.962962	15	22	1,2,3,4,5
roomG2	(3,3)	N5011662	N9627572	p(3,0);p(3,1);p(3,2);p(3,3);	2	5	3	6	FALSE	12.090909	9	17	3,2,1,1,2
roomG2	(5,3)	N7098996	N5011662	p(3,3);p(4,3);p(5,3);	3	4	2	8	FALSE	14.294119	6	13	2,1,1,2
roomG2	(1,3)	N901172	N5011662	p(3,3);p(2,3);p(1,3);	3	6	2	8	FALSE	13.3529415	11	11	2,1,2,1,3,2
roomG2	(5,2)	N1690083	N7098996	p(5,3);p(5,2);	4	4	1	9	FALSE	15.769232	8	9	2,3,1,2
roomG2	(5,5)	N5841773	N7098996	p(5,3);p(5,4);p(5,5);	4	2	2	10	FALSE	17.615383	3	11	1,2
roomG2	(1,3)	N9677328	N7098996	p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	4	6	4	12	FALSE	17.307692	11	7	2,1,2,1,3,2
roomG2	(5,3)	N6388025	N901172	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	4	4	4	12	FALSE	15.272728	6	7	2,1,1,2
roomG2	(5,5)	N1518599	N1690083	p(5,2);p(5,3);p(5,4);p(5,5);	5	2	3	12	FALSE	19.222223	3	7	1,2
roomG2	(1,3)	N3680029	N1690083	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	5	14	FALSE	17.88889	11	3	2,1,2,1,3,2
roomG2	(7,5)	N9299979	N5841773	p(5,5);p(6,5);p(7,5);	5	1	2	12	FALSE	21.09091	1	10	1
roomG2	(5,2)	N2399445	N5841773	p(5,5);p(5,4);p(5,3);p(5,2);	5	4	3	13	FALSE	18.727272	8	7	2,3,1,2
roomG2	(1,3)	N5885700	N5841773	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	5	6	6	16	FALSE	20.545454	11	5	2,1,2,1,3,2
roomG2	(5,2)	N3441563	N9677328	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	5	4	5	17	FALSE	20.285713	8	3	2,3,1,2
roomG2	(5,5)	N3437836	N9677328	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	5	2	6	18	FALSE	22.571428	3	5	1,2
roomG2	(5,2)	N8360668	N6388025	p(5,3);p(5,2);	5	4	1	13	FALSE	16.285715	8	3	2,3,1,2
roomG2	(5,5)	N1844063	N6388025	p(5,3);p(5,4);p(5,5);	5	2	2	14	FALSE	18.571428	3	5	1,2
roomG2	(7,5)	N6766737	N1518599	p(5,5);p(6,5);p(7,5);	6	1	2	14	FALSE	22.571428	1	6	1
roomG2	(1,3)	N3826345	N1518599	p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	6	18	FALSE	20.857143	11	1	2,1,2,1,3,2
roomG2	(5,5)	N3075579	N3680029	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	6	2	6	20	FALSE	22	3	1	1,2
roomG2	(5,2)	N410278	N9299979	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(5,2);	6	4	5	17	FALSE	21.900002	8	6	2,3,1,2
roomG2	(1,3)	N107465	N9299979	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	8	20	FALSE	23.900002	11	4	2,1,2,1,3,2
roomG2	(7,5)	N426576	N2399445	p(5,2);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	6	1	5	18	FALSE	26.57143	1	6	1
roomG2	(1,3)	N8864075	N2399445	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	6	6	5	18	FALSE	20.857143	11	1	2,1,2,1,3,2
roomG2	(5,2)	N6783988	N5885700	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	6	4	5	21	FALSE	23.8	8	1	2,3,1,2
roomG2	(7,5)	N3106856	N5885700	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	6	1	8	24	FALSE	29.800001	1	4	1
roomG2	(5,5)	N4966928	N3441563	p(5,2);p(5,3);p(5,4);p(5,5);	6	2	3	20	FALSE	22	3	1	1,2
roomG2	(7,5)	N8570609	N3437836	p(5,5);p(6,5);p(7,5);	6	1	2	20	FALSE	25.800001	1	4	1
roomG2	(5,2)	N2129707	N3437836	p(5,5);p(5,4);p(5,3);p(5,2);	6	4	3	21	FALSE	23.8	8	1	2,3,1,2
roomG2	(5,5)	N4615787	N8360668	p(5,2);p(5,3);p(5,4);p(5,5);	6	2	3	16	FALSE	18	3	1	1,2
roomG2	(7,5)	N8875436	N1844063	p(5,5);p(6,5);p(7,5);	6	1	2	16	FALSE	21.8	1	4	1
roomG2	(5,2)	N3170081	N1844063	p(5,5);p(5,4);p(5,3);p(5,2);	6	4	3	17	FALSE	19.8	8	1	2,3,1,2
roomG2	(1,3)	N687588	N6766737	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	8	22	TRUE	23.833334	11	0	2,1,2,1,3,2
roomG2	(7,5)	N2954359	N3826345	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	7	1	8	26	TRUE	27	1	0	1
roomG2	(7,5)	N2874475	N3075579	p(5,5);p(6,5);p(7,5);	7	1	2	22	TRUE	23	1	0	1
roomG2	(1,3)	N2619619	N410278	p(5,2);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	5	22	TRUE	23.833334	11	0	2,1,2,1,3,2
roomG2	(5,2)	N4979081	N107465	p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,2);	7	4	5	25	TRUE	27	8	0	2,3,1,2
roomG2	(1,3)	N8397431	N426576	p(7,5);p(6,5);p(5,5);p(5,4);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);	7	6	8	26	TRUE	27.833334	11	0	2,1,2,1,3,2
